# Datacard for <Channel (SR1fail2018) instance at 0x7f5a651a8640> generated on 2024-12-08 17:57:58.200605
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 9 # number of samples minus 1
kmax 87 # number of nuisance parameters
shapes * SR1fail2018 shapes2018.root shapes2018:SR1fail2018_$PROCESS shapes2018:SR1fail2018_$PROCESS_$SYSTEMATIC
bin SR1fail2018
observation 2244.000
bin                                                SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018  SR1fail2018
process                                                     WH             ZH            ggF            ttH       WJetsLNu          TTbar      SingleTop         DYJets        Diboson         fake
process                                                     -3             -2             -1              0              1              2              3              4              5            6
ps_isr_WH shape                                         1.0000              -              -              -              -              -              -              -              -            -
ps_isr_ZH shape                                              -         1.0000              -              -              -              -              -              -              -            -
ps_isr_ggH shape                                             -              -         1.0000              -              -              -              -              -              -            -
ps_isr_singletop shape                                       -              -              -              -              -              -         1.0000              -              -            -
ps_isr_ttH shape                                             -              -              -         1.0000              -              -              -              -              -            -
ps_isr_ttbar shape                                           -              -              -              -              -         1.0000              -              -              -            -
ps_isr_wjets shape                                           -              -              -              -         1.0000              -              -              -              -            -
unclustered_Energy lnN                                  1.0232         1.0147         1.0234         1.0176         1.0037         1.0043         0.9907         1.0427         1.0037            -
tqqeffSF_2018 extArg shapes2018.root:shapes2018
tqqnormSF_2018 extArg shapes2018.root:shapes2018
tqqeffSF_2018_effect_SR1fail2018_TTbar rateParam SR1fail2018 TTbar (((1-@0)*0.40367792782045225)+1) tqqeffSF_2018
tqqeffSF_2018_effect_SR1fail2018_SingleTop rateParam SR1fail2018 SingleTop (((1-@0)*0.40367792782045225)+1) tqqeffSF_2018
tqqnormSF_2018_effect_SR1fail2018_TTbar rateParam SR1fail2018 TTbar (1*@0) tqqnormSF_2018
tqqnormSF_2018_effect_SR1fail2018_SingleTop rateParam SR1fail2018 SingleTop (1*@0) tqqnormSF_2018
wjetsnormSF rateParam * WJetsLNu 1.0 [0,5]
